"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Đăng tin bán xe hơi, ôtô cũ",,,,,,,,,,,,,"2015-01-05","banxehoicu.vn","https://banxehoicu.vn/dang-tin-ban-xe-hoi-oto-cu.html"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,145000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,115000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,285000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/vios"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,286000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/altis"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,160000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/camry"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,395000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/yaris"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,170000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/innova"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,4435000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/alphard"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,750000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/fortuner"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,2600000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/land-cruiser-prado"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,3760000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/land-cruiser"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,735000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/hilux"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,519000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/avanza"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,450000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/rush"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,279000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/wigo"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,375000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/toyota/c-hr"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,375000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,175000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/grand-i10"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,292000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/grand-i10-sedan"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,345000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/accent"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,1000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/avante"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,530000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/elantra"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,420000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/sonata"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,410000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/i20-active"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,575000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/creta"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,935000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/tucson"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,385000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/santa-fe"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,440000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/hyundai/kona"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,195000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,310000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/fiesta"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,280000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/focus"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,368000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/ecosport"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,825000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/everest"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,790000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/explorer"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,595000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/ranger"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,195000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/transit"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,719000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/tourneo"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,89000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/ford/escape"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,410000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,335000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/city"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,825000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/civic"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,65000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/accord"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,388000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/jazz"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,1366000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/odyssey"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,410000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/cr-v"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,295000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/brio"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,640000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/honda/hr-v"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,255000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,255000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/rio"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,445000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/cerato"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,559000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/optima"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,375000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/quoris"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,155000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/morning"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,670000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/grand-sedona"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,395000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/soul"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,385000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/rondo"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,850000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/sportage"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,335000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/sorento"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,475000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/seltos"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,250000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/soluto"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,609000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/k3"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,135000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/forte"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,670000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/kia/sedona"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,755000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,480000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/2"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,455000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/3"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,430000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/6"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,755000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/cx-5"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,786000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/cx-9"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,300000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/bt-50"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,719000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mazda/cx-8"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,80000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,287000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/attrage"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,235000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/mirage"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,330000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/outlander"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Dầu",,,,,1100000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/pajero-sport"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,130000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/pajero"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,615000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/triton"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,429000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/mitsubishi/xpander"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,295000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/nissan"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,400000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/nissan/sunny"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,230000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/nissan/teana"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,385000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/nissan/juke"
"TOYOTA VIOS CAMRY ALTIS INNOVA FORTUNER HILUX",,"Bán ôtô cũ",,,"Xăng",,,,,426000000,,,,,,"banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/nissan/x-trail"
