"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
,,"HYUNDAI SOLATI EURO 5 16 CHỖ",,,,,,,,3108,,,,,,"carpla.vn","https://carpla.vn/hyundai-solati-euro-5-16-cho"
,,"FORD ECOSPORT 2021 - 14,000KM",,,,,,,,4708,,,,,,"carpla.vn","https://carpla.vn/ford-ecosport-2021---14000km"
,,"GEELY COOLRAY PREMIUM MÀU BẠC 2025",,,,,,,,57808,,,,,,"carpla.vn","https://carpla.vn/geely-coolray-premium-mau-bac-2025"
,,"TOYOTA VELOZ CROSS 2022 - 90,000KM",,,,,,,,56508,,,,,,"carpla.vn","https://carpla.vn/toyota-veloz-cross-2022---90000km"
,,"LYNK & CO 01 LOUDER",,,,,,,,99908,,,,,,"carpla.vn","https://carpla.vn/lynk-co-01-louder"
,,"HYUNDAI MIGHTY W750 EURO 5",,,,,,,,2208,,,,,,"carpla.vn","https://carpla.vn/hyundai-mighty-w750-euro-5"
,,"FORD RANGER WILDTRAK 2022 - 65.000KM",,,,,,,,81508,,,,,,"carpla.vn","https://carpla.vn/ford-ranger-wildtrak-2022---65000km"
,,"HYUNDAI STARGAZER X 2025",,,,,,,,55908,,,,,,"carpla.vn","https://carpla.vn/hyundai-stargazer-x-2025"
,,"FORD EVEREST 2021 - 41,000KM",,,,,,,,43908,,,,,,"carpla.vn","https://carpla.vn/ford-everest-2021---41000km"
,,"NEW HYUNDAI CRETA 2025 ĐỦ MÀU",,,,,,,,59508,,,,,,"carpla.vn","https://carpla.vn/new-hyundai-creta-2025-du-mau"
,,"LYNK & CO 09 HALO",,,,,,,,219909,,,,,,"carpla.vn","https://carpla.vn/lynk-co-09-halo"
,,"TOYOTA FORTUNER 2019 - 198,000KM",,,,,,,,76808,,,,,,"carpla.vn","https://carpla.vn/toyota-fortuner-2019---198000km"
,,"HYUNDAI MIGHTY N250 EURO 5",,,,,,,,1608,,,,,,"carpla.vn","https://carpla.vn/hyundai-mighty-n250-euro-5"
,,"LYNK & CO 08 2025",,,,,,,,129909,,,,,,"carpla.vn","https://carpla.vn/lynk-co-08-2025"
,,"MITSUBISHI ATTRAGE 2022 - 84.000KM",,,,,,,,2408,,,,,,"carpla.vn","https://carpla.vn/mitsubishi-attrage-2022---84000km"
