"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
,,"Kia Optima 2012 màu đen",,,1,1,,,,360000000,1,,,"Bình Dương","2 phút trước","xe.chotot.com","https://xe.chotot.com/129106029.htm"
,,"Hyundai i10 Sedan 1.2AT 2020 Đỏ",,1,1,1,,,,239000000,,,5,"Tp Hồ Chí Minh","11 phút trước","xe.chotot.com","https://xe.chotot.com/132556359.htm"
,,"✅FADIL LƯỚT 2 VẠN. XE ZIN 100%. NHIỀU TÍNH NĂNG ẨN",,4,1,1,,,,313000000,6,,2,"Tp Hồ Chí Minh","16 phút trước","xe.chotot.com","https://xe.chotot.com/132699660.htm"
,,"MG ZS 2025 màu Trắng",,3,1,1,,,,410000000,,,2,"Hà Nội","23 phút trước","xe.chotot.com","https://xe.chotot.com/132802385.htm"
,,"VinFast VF5 giá *** thị trường trả trước 70tr",,3,4,1,,,,70000000,,,3,"Hà Nội","24 phút trước","xe.chotot.com","https://xe.chotot.com/132690068.htm"
,,"VF9 SẲN XE GIAO NGAY-BANK 90%-BAO NỢ XẤU",,3,4,1,,,,1229000000,,,10,"Tp Hồ Chí Minh","26 phút trước","xe.chotot.com","https://xe.chotot.com/122557558.htm"
,,"VF8 PLUS HỖ TRỢ VAY LÊN ĐẾN 90% NHẬN XE",,3,4,1,,,,882000000,,,2,"Tp Hồ Chí Minh","27 phút trước","xe.chotot.com","https://xe.chotot.com/120559058.htm"
,,"VF8 MỚI 100% SIÊU HIẾM+XE XUẤT MỸ+CÔNG NGHỆ ĐỈNH",,3,4,1,,,,988000000,,,2,"Tp Hồ Chí Minh","31 phút trước","xe.chotot.com","https://xe.chotot.com/131332338.htm"
,,"Hyundai Tucson 2015  - 88000 km",,3,1,1,,,,510000000,18,,,"Bình Dương","34 phút trước","xe.chotot.com","https://xe.chotot.com/123727795.htm"
,,"VF9 CHUẨN DOANH NHÂN-VAY 90%,LÃI SUẤT SIÊU ƯU ĐÃI",,3,4,1,,,,1229000000,,,2,"Tp Hồ Chí Minh","45 phút trước","xe.chotot.com","https://xe.chotot.com/123396174.htm"
,,"KIA K3 2026 - GIẢM 50TRIỆU - TẶNG BẢO HIỂM THÂN VỎ",,1,1,1,,,,549000000,,,4,"Tp Hồ Chí Minh","48 phút trước","xe.chotot.com","https://xe.chotot.com/88858926.htm"
,,"Toyota Yaris 2019 60.000 km Trắng",,,1,1,,,,455000000,13,,2,"Tp Hồ Chí Minh","55 phút trước","xe.chotot.com","https://xe.chotot.com/132655298.htm"
,,"LIMO GREEN SẲN XE GIAO NGAY+90TR NHẬN XE NGAY",,3,4,1,,,,689000000,,,4,"Cần Thơ","56 phút trước","xe.chotot.com","https://xe.chotot.com/123681834.htm"
,,"Honda Civic G 2023 Đen 2 vạn",,3,1,1,,,,689000000,5,,1,"Tp Hồ Chí Minh","57 phút trước","xe.chotot.com","https://xe.chotot.com/132802050.htm"
,,"GLC300 AMG Model 2021 cá nhân 1 chủ siêu đẹp",,3,1,1,,,,1379000000,8,,1,"Tp Hồ Chí Minh","1 giờ trước","xe.chotot.com","https://xe.chotot.com/130663984.htm"
,,"MITSUBISHI GRANDIS 2.4 2006 MÁY ZIN FULL OPTION",,3,1,1,,,,230000000,23,,3,"An Giang","1 giờ trước","xe.chotot.com","https://xe.chotot.com/129035145.htm"
,,"VF9 VAY 90% ĐẾN 100% DÀNH CHO DOANH NGHIỆP!",,3,4,1,,,,1269000000,,,1,"Tp Hồ Chí Minh","1 giờ trước","xe.chotot.com","https://xe.chotot.com/131946412.htm"
,,"Toyota Corolla Altis 2022 1.8V Đen, full phụ kiện",,1,1,1,,,,640000000,6,,1,"Tp Hồ Chí Minh","1 giờ trước","xe.chotot.com","https://xe.chotot.com/132801705.htm"
,,"Audi A4 model 2015 màu đen cực ngầu siêu đẹp",,1,1,1,,,,489000000,,,1,"Tp Hồ Chí Minh","1 giờ trước","xe.chotot.com","https://xe.chotot.com/127926063.htm"
,,"VinFast Limo Green Mới 100% ƯU ĐÃI TIỀN MẶT+PK+TTB",,3,4,1,,,,681590000,,,2,"Tp Hồ Chí Minh","1 giờ trước","xe.chotot.com","https://xe.chotot.com/132801387.htm"
