"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
,,"Mua bán ô tô cũ",,,,,,,,"445 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe"
,,"Mua bán ô tô mới",,,,,,,,"810 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-moi"
,,"Tổng hợp tin tức ô tô ",,,,,,,,,,,,,,"oto.com.vn","https://oto.com.vn/kinh-nghiem/kinh-nghiem-mua-ban-xe"
,,"Mua bán xe ô tô Toyota cũ",,,,,,,,"445 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota"
,,"Mua bán xe ô tô Toyota Vios cũ",,,,,,,,"205 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-vios"
,,"Mua bán xe ô tô Toyota Innova cũ",,,,,,,,"450 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-innova"
,,"Mua bán xe ô tô Toyota Fortuner cũ",,,,,,,,"699 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-fortuner"
,,"Mua bán xe ô tô Toyota Camry cũ",,,,,,,,"445 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-camry"
,,"Mua bán xe ô tô Toyota Corolla Altis cũ",,,,,,,,"275 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-corolla-altis"
,,"Mua bán xe ô tô Toyota Corolla Cross cũ",,,,,,,,"658 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-corolla-cross"
