"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url","price_raw","price_scale","age","age_group","is_high_price","is_high_mileage"
"ACURA","MDX","3.7L",2007,NA,"Xăng","Tự động",NA,NA,NA,3.15e+08,128000,"Trong nước","Xám","Tp Hồ Chí Minh","2024-07-31","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/acura/mdx/ban-xe-acura-mdx-2007-gia-315-trieu-.-99605.html",3.15e+08,"Original scale",19,"Tren 12 nam",FALSE,TRUE
"ACURA","MDX","3.7L",2008,NA,"Xăng","Tự động",NA,NA,NA,2.55e+08,1e+05,"Trong nước","Xanh","Bà Rịa Vũng Tàu","2026-01-22","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/acura/mdx/em-chinh-chu-len-doi-xe-moi-nen-du-con-xe-acura-mdx-2008-tam-huyet-mot-thoi.-103297.html",2.55e+08,"Original scale",18,"Tren 12 nam",FALSE,TRUE
"ACURA","MDX","3.7L",2008,NA,"Xăng","Tự động",NA,NA,NA,3.75e+08,131000,"Canada","Xanh","Bà Rịa Vũng Tàu","2024-09-10","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/acura/mdx/chinh-chu-len-doi-xe-moi-ban-xe-acura-mdx-san-xuat-nam-2008-99861.html",3.75e+08,"Original scale",18,"Tren 12 nam",FALSE,TRUE
"AUDI","A3","1.8 TFSI",2013,NA,"Xăng","Tự động",NA,NA,NA,4.5e+08,1e+05,"Hungary","Trắng","Tp Hồ Chí Minh","2024-07-02","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a3/chinh-chu-ban-xe-audi-a3-2013.-1.8-tsfi-nhap-hungari-99394.html",4.5e+08,"Original scale",13,"Tren 12 nam",FALSE,TRUE
"AUDI","A4","1.8T",2005,NA,"Xăng","Tự động",NA,NA,NA,4.5e+08,150000,"Trong nước","Trắng","Tp Hồ Chí Minh","2024-10-10","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a4/xe-audi-a4-carbriolet-b6-sx-2005-100118.html",4.5e+08,"Original scale",21,"Tren 12 nam",FALSE,TRUE
"AUDI","A4","1.8T",2016,NA,"Xăng","Tự động",NA,NA,NA,6.9e+08,80000,"Trong nước","Vàng","Tp Hồ Chí Minh","2025-03-27","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a4/chinh-chu-ban-xe-audi-a4-san-xuat-nam-2016-dang-ky-2017-101466.html",6.9e+08,"Original scale",10,"8-12 nam",FALSE,FALSE
"AUDI","A5","Ultra",2017,NA,"Xăng","Tự động",NA,NA,NA,9.79e+08,62000,"Nhập khẩu","Đen","Tp Hồ Chí Minh","2025-11-21","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a5/bmw-a5-ban-apec-2017-su-ket-hop-hoan-hao-giua-the-thao-va-sang-trong-103000.html",9.79e+08,"Original scale",9,"8-12 nam",TRUE,FALSE
"AUDI","A5","Sportback",2017,NA,"Xăng","Tự động",NA,NA,NA,1.039e+09,80000,"Nhập khẩu","Trắng","Tp Hồ Chí Minh","2025-11-21","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a5/audi-a5-sportback-tfsi-quattro-2017-dang-cap-the-thao-lich-lam-doanh-nhan-102927.html",1.039e+09,"Original scale",9,"8-12 nam",TRUE,FALSE
"AUDI","A6","1.8 TFSI Ultra",2009,NA,"Xăng","Tự động",NA,NA,NA,2.52e+08,120000,"Trong nước","Đen","Hải Phòng","2024-11-27","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a6/ban-xe-audi-a6-sx-2009-gia-252-trieu.-100552.html",2.52e+08,"Original scale",17,"Tren 12 nam",FALSE,TRUE
"AUDI","A8L","3.0T",2021,NA,"Xăng","Tự động",NA,NA,NA,3.68e+09,25000,"Nhập khẩu","Xanh lá","Hà Nội","2026-06-12","banxehoicu.vn","https://banxehoicu.vn/ban-oto-cu/audi/a8l/ban-xe-audi-a8l-55-tfsi-2022-mau-xanh-la-nhap-khau-duc-gia-3-68-ty-103139.html",3.68e+09,"Original scale",5,"4-7 nam",TRUE,FALSE
