"brand","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"TOYOTA",4494,719052341.626168,4.65e+08,5e+07,7.89e+09,902587944663356800,950046285.537372
"FORD",2802,659952890.420771,6.05e+08,5e+07,5.799e+09,187189771402613728,432654332.467171
"VINFAST",2608,559519281.690951,5.85e+08,5e+07,4.6e+09,77397321420437920,278203740.845514
"HYUNDAI",2331,499722038.332475,4.3e+08,5.2e+07,1.59e+09,80486530409673072,283701481.155233
"KIA",2304,530673807.497396,456500000,5e+07,1.95e+09,134870306962607936,367246929.139793
"MITSUBISHI",1657,453727993.173808,4.75e+08,5e+07,4.8e+09,44101944310268312,210004629.259139
"MERCEDES BENZ",1579,1559461284.29322,1.158e+09,5.8e+07,1.099e+10,2131768246136745472,1460057617.40308
"MAZDA",1430,524233850.52028,5.19e+08,5e+07,2.5e+09,35440418254280152,188256256.8795
"HONDA",1036,537524518.562741,4.95e+08,6e+07,2.5e+09,63408241458941784,251809931.215871
"LEXUS",655,3438109923.6626,2.55e+09,1.45e+08,1.2666e+10,6756712868618306560,2599367782.48448
"CHEVROLET",649,231252493.249615,1.65e+08,5e+07,3.7e+09,61318589704223552,247625906.771128
"BMW",541,1415687638.15712,1.2e+09,7.5e+07,6.96e+09,1387071269559638016,1177739898.94188
"SUZUKI",456,397601974.337719,3.99e+08,6.8e+07,7.89e+08,21023470656837356,144994726.306985
"MG",399,416383458.671679,4.2e+08,7.6e+07,8.7e+08,11258046058787434,106103939.883434
"NISSAN",256,378108441.835938,372500000,5.9e+07,3.599e+09,61243299223176152,247473835.431498
"PEUGEOT",232,630500053.206897,592500000,55555555,1.529e+09,40854889318861000,202125924.410653
"MERCEDES",227,1876629955.94714,1.39e+09,7e+07,1.2888e+10,3925223897859732480,1981217781.53229
"LANDROVER",222,3939342342.34234,2.559e+09,1.65e+08,1.3888e+10,10459082886796298240,3234050538.68926
"AUDI",206,963912621.359223,662500000,1.83e+08,3.799e+09,580945426474070528,762197760.738032
"VOLKSWAGEN",200,1565349000,1824500000,1.7e+08,2.888e+09,679038322009045248,824037815.885318
"PORSCHE",173,3177491329.47977,2.95e+09,2.9e+08,9.979e+09,3918502135098803712,1979520683.17025
"ISUZU",119,501067226.890756,4.35e+08,6.5e+07,3e+09,145373063238854848,381278196.647612
"DAEWOO",103,98398058.2524272,9.5e+07,5e+07,1.88e+08,1115869407957358,33404631.5345246
"BYD",89,903996179.764045,7.56e+08,5e+07,2.388e+09,250183633593217216,500183599.8843
"VOLVO",77,1650636363.63636,1.578e+09,9.09e+08,3.289e+09,203549155502392352,451164222.320867
"SUBARU",64,844796875,7.79e+08,4.79e+08,1.799e+09,106910481894841264,326971683.628478
"HÃNG KHÁC",42,321548462.952381,2.35e+08,5e+07,9.5e+08,47931542142552472,218932734.287389
"MINI",38,1465026315.78947,1.499e+09,3e+08,2.619e+09,500112026315789504,707185991.317553
"BENTLEY",37,5347972972.97297,3.199e+09,6.36e+08,1.35e+10,21053919471471472640,4588455020.09897
"GEELY",31,642290322.580645,5.84e+08,4.59e+08,1.149e+09,27581612903225808,166077129.380375
"SKODA",26,559961538.461538,5.31e+08,3.5e+08,9.89e+08,18315878461538460,135336168.342164
"JAGUAR",25,1774159999.96,7.59e+08,5.19e+08,9e+09,6351849639397847040,2520287610.452
"CADILLAC",19,3850210526.31579,2.78e+09,8.55e+08,1.18e+10,7106340286549707776,2665771986.9767
"HAVAL",19,641631578.947368,6.55e+08,5.69e+08,8.4e+08,7497134502923977,86585994.842838
"CHERY",19,579210526.315789,599900000,6e+07,8.79e+08,47671034327485384,218336974.256504
"THACO",16,224437500,175500000,9.5e+07,6.6e+08,18889329166666668,137438455.923612
"JEEP",15,2402466666.6,2.488e+09,1.7e+08,3.488e+09,523933266675590464,723832347.077409
"MASERATI",14,2894142857.14286,1944500000,1.58e+09,1.05e+10,5790163362637362176,2406275828.46135
"LYNK&CO",14,1183221428.57143,852550000,6.75e+08,3.299e+09,498037286428571456,705717568.456795
"LINCOLN",13,5.582e+09,5.555e+09,5.15e+08,8.5e+09,3959191166666666496,1989771636.8133
"ACURA",13,371692307.692308,2.8e+08,9.9e+07,1.12e+09,64729397435897432,254419726.900053
"GAC",12,1261908333.33333,1699500000,1.68e+08,2.199e+09,543567573560606080,737270353.100276
"SSANGYONG",12,139500000,1.07e+08,5.5e+07,3.5e+08,9920454545454546,99601478.6308644
