"age_group","transmission","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"0-3 nam","Tự động",8630,8994,0.959528574605292,"95.95%"
"0-3 nam","Số sàn",358,8994,0.0398043139871025,"3.98%"
"0-3 nam","Số tay",6,8994,0.00066711140760507,"0.07%"
"4-7 nam","Tự động",8011,8882,0.901936500788111,"90.19%"
"4-7 nam","Số sàn",867,8882,0.0976131501913983,"9.76%"
"4-7 nam","Số tay",4,8882,0.00045034902049088,"0.05%"
"8-12 nam","Tự động",4317,5498,0.785194616224081,"78.52%"
"8-12 nam","Số sàn",1179,5498,0.214441615132776,"21.44%"
"8-12 nam","Số tay",2,5498,0.000363768643142961,"0.04%"
"Tren 12 nam","Tự động",2428,3878,0.626095925734915,"62.61%"
"Tren 12 nam","Số sàn",1450,3878,0.373904074265085,"37.39%"
