"transmission","fuel_type","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"Số sàn","Xăng",2779,3660,0.759289617486339,"75.93%"
"Số sàn","Dầu",876,3660,0.239344262295082,"23.93%"
"Số sàn","Hybrid",3,3660,0.000819672131147541,"0.08%"
"Số sàn","Điện",2,3660,0.000546448087431694,"0.05%"
"Số tay","Xăng",15,21,0.714285714285714,"71.43%"
"Số tay","Dầu",6,21,0.285714285714286,"28.57%"
"Tự động","Xăng",15704,21761,0.721658012039888,"72.17%"
"Tự động","Dầu",3157,21761,0.145076053490189,"14.51%"
"Tự động","Điện",2326,21761,0.10688847019898,"10.69%"
"Tự động","Hybrid",574,21761,0.0263774642709434,"2.64%"
