"brand","is_high_price","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"VOLVO","TRUE",74,74,1,"100%"
"CADILLAC","TRUE",23,23,1,"100%"
"MASERATI","TRUE",12,12,1,"100%"
"ROLLS-ROYCE","TRUE",11,11,1,"100%"
"ROLLS ROYCE","TRUE",10,10,1,"100%"
"LAMBORGHINI","TRUE",3,3,1,"100%"
"MCLAREN","TRUE",2,2,1,"100%"
"RAM","TRUE",2,2,1,"100%"
"HONGQI","TRUE",1,1,1,"100%"
"MORGAN","TRUE",1,1,1,"100%"
"PONTIAC","TRUE",1,1,1,"100%"
"LAND ROVER","TRUE",65,66,0.984848484848485,"98.48%"
"BENTLEY","TRUE",39,40,0.975,"97.5%"
"PORSCHE","TRUE",175,186,0.940860215053763,"94.09%"
"JEEP","TRUE",15,16,0.9375,"93.75%"
"LINCOLN","TRUE",12,13,0.923076923076923,"92.31%"
"LEXUS","TRUE",548,622,0.881028938906752,"88.1%"
"MERCEDES","TRUE",173,227,0.762114537444934,"76.21%"
"LANDROVER","TRUE",101,133,0.759398496240602,"75.94%"
"MERCEDES BENZ","TRUE",1062,1539,0.690058479532164,"69.01%"
"MINI","TRUE",20,29,0.689655172413793,"68.97%"
"FERRARI","TRUE",2,3,0.666666666666667,"66.67%"
"GMC","TRUE",2,3,0.666666666666667,"66.67%"
"SKODA","TRUE",2,3,0.666666666666667,"66.67%"
"VOLKSWAGEN","TRUE",75,126,0.595238095238095,"59.52%"
"INFINITI","TRUE",7,12,0.583333333333333,"58.33%"
"BMW","TRUE",270,490,0.551020408163265,"55.1%"
"BYD","TRUE",8,15,0.533333333333333,"53.33%"
"AUDI","TRUE",101,212,0.476415094339623,"47.64%"
"JAGUAR","TRUE",12,27,0.444444444444444,"44.44%"
"SUBARU","TRUE",23,53,0.433962264150943,"43.4%"
"GAC","TRUE",2,5,0.4,"40%"
"CITROEN","TRUE",1,3,0.333333333333333,"33.33%"
"FORD","TRUE",924,2891,0.319612590799031,"31.96%"
"CHERY","TRUE",1,4,0.25,"25%"
"INTERNATIONAL","TRUE",1,4,0.25,"25%"
"PEUGEOT","TRUE",57,248,0.229838709677419,"22.98%"
"KIA","TRUE",463,2317,0.199827362969357,"19.98%"
"HYUNDAI","TRUE",408,2308,0.176776429809359,"17.68%"
"TOYOTA","TRUE",796,4637,0.171662712960966,"17.17%"
"HONDA","TRUE",156,1022,0.152641878669276,"15.26%"
"SMART","TRUE",1,9,0.111111111111111,"11.11%"
"VINFAST","TRUE",121,1293,0.0935808197989172,"9.36%"
"MAZDA","TRUE",118,1386,0.0851370851370851,"8.51%"
"ACURA","TRUE",1,12,0.0833333333333333,"8.33%"
"HÃNG KHÁC","TRUE",2,28,0.0714285714285714,"7.14%"
"THACO","TRUE",1,18,0.0555555555555556,"5.56%"
"ISUZU","TRUE",2,83,0.0240963855421687,"2.41%"
"MITSUBISHI","TRUE",34,1691,0.0201064458900059,"2.01%"
"CHEVROLET","TRUE",12,656,0.0182926829268293,"1.83%"
"MG","TRUE",2,373,0.00536193029490617,"0.54%"
"SUZUKI","TRUE",2,389,0.0051413881748072,"0.51%"
"NISSAN","TRUE",1,267,0.00374531835205993,"0.37%"
