"age_group","transmission","so_luong","xac_suat_ket_hop","xac_suat_ket_hop_pct"
"0-3 nam","Số sàn",329,0.0129313733197076,"1.29%"
"4-7 nam","Số sàn",779,0.0306186620548699,"3.06%"
"8-12 nam","Số sàn",1133,0.0445326625265309,"4.45%"
"Tren 12 nam","Số sàn",1419,0.0557739171448785,"5.58%"
"0-3 nam","Số tay",8,0.000314440688625108,"0.03%"
"4-7 nam","Số tay",7,0.00027513560254697,"0.03%"
"8-12 nam","Số tay",4,0.000157220344312554,"0.02%"
"Tren 12 nam","Số tay",2,7.8610172156277e-05,"0.01%"
"0-3 nam","Tự động",8035,0.315816366637843,"31.58%"
"4-7 nam","Tự động",7295,0.28673060294002,"28.67%"
"8-12 nam","Tự động",4068,0.159893090165867,"15.99%"
"Tren 12 nam","Tự động",2363,0.0928779184026413,"9.29%"
