brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
ACURA,MDX,3.7L,2007,,Xăng,Tự động,,,,315000000,128000,Trong nước,Xám,Tp Hồ Chí Minh,2024-07-31,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/acura/mdx/ban-xe-acura-mdx-2007-gia-315-trieu-.-99605.html
ACURA,MDX,3.7L,2008,,Xăng,Tự động,,,,255000000,100000,Trong nước,Xanh,Bà Rịa Vũng Tàu,2026-01-22,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/acura/mdx/em-chinh-chu-len-doi-xe-moi-nen-du-con-xe-acura-mdx-2008-tam-huyet-mot-thoi.-103297.html
ACURA,MDX,3.7L,2008,,Xăng,Tự động,,,,375000000,131000,Canada,Xanh,Bà Rịa Vũng Tàu,2024-09-10,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/acura/mdx/chinh-chu-len-doi-xe-moi-ban-xe-acura-mdx-san-xuat-nam-2008-99861.html
AUDI,A3,1.8 TFSI,2013,,Xăng,Tự động,,,,450000000,100000,Hungary,Trắng,Tp Hồ Chí Minh,2024-07-02,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a3/chinh-chu-ban-xe-audi-a3-2013.-1.8-tsfi-nhap-hungari-99394.html
AUDI,A4,1.8T,2005,,Xăng,Tự động,,,,450000000,150000,Trong nước,Trắng,Tp Hồ Chí Minh,2024-10-10,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a4/xe-audi-a4-carbriolet-b6-sx-2005-100118.html
AUDI,A4,1.8T,2016,,Xăng,Tự động,,,,690000000,80000,Trong nước,Vàng,Tp Hồ Chí Minh,2025-03-27,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a4/chinh-chu-ban-xe-audi-a4-san-xuat-nam-2016-dang-ky-2017-101466.html
AUDI,A5,Ultra,2017,,Xăng,Tự động,,,,979000000,62000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-11-21,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a5/bmw-a5-ban-apec-2017-su-ket-hop-hoan-hao-giua-the-thao-va-sang-trong-103000.html
AUDI,A5,Sportback,2017,,Xăng,Tự động,,,,1039000000,80000,Nhập khẩu,Trắng,Tp Hồ Chí Minh,2025-11-21,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a5/audi-a5-sportback-tfsi-quattro-2017-dang-cap-the-thao-lich-lam-doanh-nhan-102927.html
AUDI,A6,1.8 TFSI Ultra,2009,,Xăng,Tự động,,,,252000000,120000,Trong nước,Đen,Hải Phòng,2024-11-27,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a6/ban-xe-audi-a6-sx-2009-gia-252-trieu.-100552.html
AUDI,A8L,3.0T,2021,,Xăng,Tự động,,,,3680000000,25000,Nhập khẩu,Xanh lá,Hà Nội,2026-06-12,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a8l/ban-xe-audi-a8l-55-tfsi-2022-mau-xanh-la-nhap-khau-duc-gia-3-68-ty-103139.html
AUDI,A8L,3.0T,2021,,Xăng,Tự động,,,,3580000000,3300,Nhập khẩu,Đen,Hà Nội,2026-01-23,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/a8l/audi-a8l-plus-san-xuat-nam-2022-dang-ky-2024.-xe-mot-chu-tu-dau-103291.html
AUDI,Q2,Sport,2019,,Xăng,Tự động,,,,779000000,75000,Nhập khẩu,Vàng,Tp Hồ Chí Minh,2026-06-13,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q2/ban-audi-q2-2019-mau-vang-tang-iphone-17-promax-103693.html
AUDI,Q2,S Line,2019,,Xăng,Tự động,,,,780000000,75000,Nhập khẩu,Vàng,Tp Hồ Chí Minh,2026-06-13,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q2/ban-audi-q2-mau-vang-xe-sieu-luot-mau-son-doc-quyen-103694.html
AUDI,Q5,2.0 TFSI Quattro,2011,,Xăng,Tự động,,,,399000000,80000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-03-23,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/ban-audi-q5-2.0-at-2011-suv-hang-sang-101413.html
AUDI,Q5,2.0T,2011,,Xăng,Tự động,,,,399000000,80000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-03-19,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/audi-q5-2.0-tfsi-quattro-doi-2011-101360.html
AUDI,Q5,2.0 TFSI Quattro,2011,,Xăng,Tự động,,,,399000000,80000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-03-17,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/audi-q5-2011-phong-do-la-nhat-thoi-dang-cap-la-mai-mai-101259.html
AUDI,Q5,2.0T,2012,,Xăng,Tự động,,,,399000000,80000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-03-22,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/audi-q5-2.0-at-2012-nhap-duc-101397.html
AUDI,Q5,2.0T,2012,,Xăng,Tự động,,,,399000000,80000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-03-22,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/audi-q5-2.0-at-2012-nhap-duc-101379.html
AUDI,Q5,2.0 TFSI Quattro,2012,,Xăng,Tự động,,,,399000000,80000,Nhập khẩu,Đen,Tp Hồ Chí Minh,2025-03-18,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/audi-q5-2.0-at-2012-suv-hang-sang-101292.html
AUDI,Q5,2.0 TFSI Quattro,2016,,Xăng,Tự động,,,,650000000,60000,Nhập khẩu,Trắng,Hà Nội,2026-03-22,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/ban-xe-audi-q5-2.0-tfsi-quattro-doi-2016-mau-trang-nhap-khau-duc-gia-839-trieu-100911.html
AUDI,Q5,2.0 TFSI Quattro,2017,,Xăng,Tự động,,,,855000000,90000,Nhập khẩu,Trắng,Hà Nội,2026-03-24,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/ban-xe-audi-q5-2.0t-quattro-sx-2016-nhap-my-mau-trang-sieu-chat-98958.html
AUDI,Q5,,2017,,Xăng,Tự động,,,,999000000,80000,Nhập khẩu,Xanh,Tp Hồ Chí Minh,2025-06-26,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/ban-xe-audi-q5-san-xuat-dung-2017-xe-duc-tfsi-quattro-100882.html
AUDI,Q5,2.0 TFSI Quattro,2018,,Xăng,Tự động,,,,1250000000,65000,Nhập khẩu,Trắng,Hà Nội,2025-12-04,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/ban-xe-audi-doi-2018-mau-trang-gia-1-25-ty-102746.html
AUDI,Q5,2.0 TFSI Quattro,2018,,Xăng,Tự động,,,,1250000000,65000,Nhập khẩu,Trắng,Hà Nội,2025-12-02,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q5/ban-xe-audi-q5-2.0-tfsi-quattro-doi-2018-mau-trang-nhap-khau-duc-gia-1-25-ty-102623.html
