brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
TOYOTA,VIOS,,2021,Sedan,Xăng,Tự động,,5,,365000000,79997,,,Tp Hồ Chí Minh,12-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132940275.htm
VINFAST,LIMO GREEN,,2026,MPV,Điện,Tự động,,7,,100000000,,Trong nước,,Tp Hồ Chí Minh,12-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132934275.htm
KIA,MORNING,,2009,,Xăng,Tự động,,,,135000000,134000,Nhập khẩu,,Bạc Liêu,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-vinh-loi-bac-lieu/132993715.htm
TOYOTA,CAMRY,2.0E,2018,Sedan,Xăng,Tự động,2,5,FWD,610000000,87000,Trong nước,,Đà Nẵng,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ngu-hanh-son-da-nang/132994846.htm
CHEVROLET,ORLANDO,,2017,,Xăng,Số sàn,,,,195000000,280000,,,Đồng Nai,16-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/132011000.htm
KIA,MORNING,S MT,2014,Hatchback,Xăng,Số sàn,,,,135000000,100000,Ấn Độ,,Đồng Nai,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-nhon-trach-dong-nai/132997936.htm
VINFAST,LIMO GREEN,,2026,MPV,Điện,Tự động,,7,,654590000,,Trong nước,,Tp Hồ Chí Minh,09-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130441612.htm?ad_delivery=true&event_source=ad_list
FORD,RANGER,XLS 2.0L 4x2 AT,2025,Bán tải,Dầu,Tự động,,5,,610000000,15500,Nhập khẩu,,Bình Dương,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/132997905.htm
MITSUBISHI,XPANDER,AT,2020,MPV,Xăng,Tự động,,5,,429000000,24000,Nhập khẩu,,Cần Thơ,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ninh-kieu-can-tho/132997889.htm
MITSUBISHI,ATTRAGE,1.2 MT,2024,Sedan,Xăng,Số sàn,,5,,275000000,19782,,,Phú Yên,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-tuy-hoa-phu-yen/132997888.htm
